Item ID,Item,Description,Item Sales Rep,DNR Activity Code,Item Vendor,Last Date Sold,Total Inventory on Hand, Preferred Vendor,Last Date Purchased, Buyer Name,Preferred Vendor Price,Extended Cost 
89862,559321,9321 WHT INGREDIENT BIN 21GALLON,N/A,O Non Stock Inactive,9321,N/A,4,2170 AMERICAN PLASTICS,N/A,Noel Marucut,125.44,501.76
89870,559B57,9B57 TILE & GROUT BRUSH 12/CSBRASS BRISTLE,N/A,O Non Stock Inactive,FG9B57000000,N/A,10,NEWELL BRANDS DISTRIBUTION LLC,N/A,Noel Marucut,3.07,30.70
85243,55Q610,Q610 MICROFIBER CLOTH 12/CSYELLOW BATHROOM,N/A,O Non Stock Inactive,FGQ61000YL00,N/A,1,NEWELL BRANDS DISTRIBUTION LLC,N/A,Noel Marucut,40.2,40.20
117465,560036,3139BX-EH GALAXY 12  EA BOX EXTRACTOR 12GAL  S/O,N/A,O Non Stock Inactive,3139BX-EH,N/A,1,2803 EDIC,N/A,Noel Marucut,1660,1660.00
97624,560102,14555 LIQUID CHISEL MAX 55GALULTRA STRENGTH DEGREASER,N/A,N Stock Active,1455500,N/A,6,1065 BETCO CORPORATION,N/A,Noel Marucut,380.29,2281.74
90004,560507,1.106-160.0 DUAL MISTER   EAHD 2.0/1000,N/A,O Non Stock Inactive,1.106-160.0,N/A,1,13289 KARCHER NORTH AMERICA,N/A,Noel Marucut,1140,1140.00
90007,560540,524093 FLEXSPRAY HANDHELD  EA0,N/A,O Non Stock Inactive,524093,N/A,1,NILFISK INC,N/A,Noel Marucut,399,399.00
124661,560750,SENSOR BP CORDLESS VACUUM EA 9.877-937.0,N/A,O Non Stock Inactive,9.877-937.0,N/A,1,13289 KARCHER NORTH AMERICA,N/A,Noel Marucut,413.4,413.40
123582,567345U,PF55 20 GAL. WET/DRY VAC USED,N/A,O Non Stock Inactive,PF55,N/A,1,TACONY CORPORATION,N/A,Noel Marucut,N/A,0.00
123258,567374,M3M MOTORSCRUBBER STARTER KIT MEDIUM HANDLE,N/A,O Non Stock Inactive,M3M,N/A,1,7333 MOTOR SCRUBBER USA,N/A,Noel Marucut,449.4,449.40
