Item,Description,Item Sales Rep,DNR Activity Code,Item Vendor,Last Date Sold,Total Inventory on Hand, Preferred Vendor,Last Date Purchased, Buyer Name
491819,HOTEL LAUNDRY BAG 1M/CSDRAWSTRING,N/A,O Non Stock Inactive,TPS-HFP06,N/A,11,LK PACKAGING,N/A,Suyeon Nam
500000,30X36 Clear .45MIL Canliner 250/CS,N/A,N Stock Active,37MCL,03/12/2024,6,340 ALUF PLASTICS DIVISION,N/A,Suyeon Nam
500224,30X36 1.3MIL RED Canliner 250/CSA6036PR  20-30 GAL FLATPACK,N/A,N Stock Active,A6036PR,N/A,9,NOVOLEX HERITAGE BAG LLC,N/A,Suyeon Nam
502458,40X48 16MIC RED Canliner 250/CSZ8048VR R01 NO PRINT,N/A,N Stock Active,Z8048VR R01,03/28/2024,8,NOVOLEX HERITAGE BAG LLC,N/A,Suyeon Nam
503082,40X48 RED 16MIC CANLNR 250/CS HOSPITAL LINERS S/O,N/A,O Non Stock Inactive,S404816RH,N/A,59,INTEPLAST GROUP CORPORATION,N/A,Suyeon Nam
530148,57893 2ROLL T.T. DISPENSER EA 6 MIN TO ORDER,N/A,O Non Stock Inactive,57893,N/A,6,3735 GEORGIA-PACIFIC CORPORATION,N/A,Suyeon Nam
531060,56TR 9" TWIN TORK TISSUE DISP1/CS TORK SMOKE,N/A,O Non Stock Inactive,56TR,N/A,7,10620 ESSITY PROFESSIONAL HYGIENE,N/A,Suyeon Nam
545552,58000A DIXIE ULTRA NAPKIN DISP 1/CS BLACK/S.S SMARTSTOCK,N/A,O Non Stock Inactive,58000A,N/A,3,3735 GEORGIA-PACIFIC CORPORATION,N/A,Suyeon Nam
800935,10X10 PRIME RIB BEV 2PLY 4M/C WHITE BEV NAP S/O,N/A,O Non Stock Inactive,NC05284,N/A,1,4150 HOFFMASTER GROUP INC,N/A,Suyeon Nam
802102,610-A 10X10 FEDERAL RESERVE3M/CS 2PLY BEV NAP 33682900,N/A,O Non Stock Inactive,33682900,N/A,1,4150 HOFFMASTER GROUP INC,N/A,Suyeon Nam
802507,12X17 GUEST TOWEL CENTER CLUB 750/CS 612X176WHBDA1.75M,N/A,N Stock Active,612X176WHBDA1.75M,N/A,40,FLAMINGO PAPER & FOOD SERVICE,07/11/2024,Suyeon Nam
802508,10X10 CENTER CLUB BEV NAP 3M 2PLY COIN EMBOSS 3M,N/A,N Stock Active,210X104WHBDC13.0M,N/A,20,FLAMINGO PAPER & FOOD SERVICE,N/A,Suyeon Nam
803340,10X10 PNC DIAMOND CLUB 4M/CS BEV NAP NC02566,N/A,N Stock Active,NC02566,04/22/2024,9,4150 HOFFMASTER GROUP INC,N/A,Suyeon Nam
900211,CCPM10SP 9-7/8 CAKE CIRCLE 1M/CS PARCHMENT,N/A,N Stock Active,CCPM10SP,03/13/2024,3,4150 HOFFMASTER GROUP INC,03/28/2024,Suyeon Nam
900719,Black STEAK 10X30 PAPER 1M/CS      1M/CS,N/A,N Stock Active,P116030,N/A,4,BAGCRAFT,N/A,Suyeon Nam
900952,10X14 WHITE PLACEMATS 1M/CS 601SE1014,N/A,N Stock Active,251,N/A,8,4150 HOFFMASTER GROUP INC,N/A,Suyeon Nam
900988,53138 9oz LILAC PAPER CUP12/25/CS,N/A,O Non Stock Inactive,53138,N/A,4,4150 HOFFMASTER GROUP INC,N/A,Suyeon Nam
902802,9" FUNNEL CAKE PLATE1M/CS,N/A,O Non Stock Inactive,FUNNELPLT,N/A,1,1020 BERK PAPER & SUPPLY,N/A,Suyeon Nam
902923,83198 9" CLEAR PLATE 240/CS,N/A,O Non Stock Inactive,FORMAN#6639,N/A,1,4150 HOFFMASTER GROUP INC,N/A,Suyeon Nam
915133,EP-SCR9 9" ROUND CONTAINER SUGARCANE 400/CS,N/A,O Non Stock Inactive,EP-SCR9,N/A,8,2832 ECO-PRODUCTS,N/A,Suyeon Nam
915134,EP-SCR9LID 9" ROUND LID 300/CS,N/A,N Stock Active,EP-SCR9LID,N/A,8,2832 ECO-PRODUCTS,N/A,Suyeon Nam
925133,EP-SCR9NFA 9" ROUND CONTAINER SUGARCANE 400/CS,N/A,O Non Stock Inactive,EP-SCR9NFA,N/A,3,2832 ECO-PRODUCTS,N/A,Suyeon Nam
963512,57232 7" BURGANDY PLATES 2424/25/CS,N/A,O Non Stock Inactive,0,N/A,3,4150 HOFFMASTER GROUP INC,N/A,Suyeon Nam
984943,144-0069-003 ZIPSEAL BAG 1M/CS4X8 .002,N/A,O Non Stock Inactive,F20408,04/22/2024,1,LK PACKAGING,05/06/2024,Suyeon Nam
R503855,A-T3858H 38X58 Black Canliner1.3MIL EQ LLR/ALUINE BLEND 100,N/A,O Non Stock Inactive,A-T3858H,N/A,1,340 ALUF PLASTICS DIVISION,N/A,Suyeon Nam
