CUSTOMER,ITEM,PRICE Level,COMMODITY,Current Sell,UNIT COST C/S,CURRENT GP%,LAST SALE DATE,LAST SELL C/S,LAST COST C/S,LAST GP%,LAST QUANTITY C/S,WH AVAIL C/S,COST TYPE
292142 Inverness Brewing,511914 8385-02 ES10 PURELL FOAM SOAP 2/1200ML TF CRT UNSCENTED,Custom,SOAP HAND,59.71,44.78,25.00,N/A,N/A,N/A,N/A,N/A,116,Item Defined Cost
292142 Inverness Brewing,510947 HAND SOAP WHITE ALMOND 4/1GALPEARLIZED CHESAPEAKE,Custom,SOAP HAND,28.08,21.06,25.00,N/A,N/A,N/A,N/A,N/A,50,Item Defined Cost
292142 Inverness Brewing,511910 P7640 CLR/MILD FOAM SOAP 2/CS CB8 CHESAPEAKE,Custom,SOAP HAND,55.95,41.96,25.00,N/A,N/A,N/A,N/A,N/A,11,Item Defined Cost
292142 Inverness Brewing,985002 Mrs. Meyer's Liquid Hand Soap 6/12.5oz Lemon 651321,Custom,SOAP HAND,31.2,21.84,30.00,N/A,N/A,N/A,N/A,N/A,2,Item Defined Cost
292142 Inverness Brewing,031523 325APS 3.25OZ Clear SOUFFLE2500/CS  PLASTIC,Custom,SOUFFLE PLASTIC,34.33,25.75,24.99,N/A,N/A,N/A,N/A,N/A,136,Item Defined Cost
292142 Inverness Brewing,031526 200APBS 2OZ Black PLAS SOUFFLE2500/CS,Custom,SOUFFLE PLASTIC,21.97,16.48,24.99,N/A,N/A,N/A,N/A,N/A,1210,Item Defined Cost
292142 Inverness Brewing,372019 2019 FULL STEAM PAN DEEP 50/CS,Custom,STEAM PAN ALUM,58.84,45.31,22.99,N/A,N/A,N/A,N/A,N/A,587,Item Defined Cost
292142 Inverness Brewing,521054 2X60 MASKING TAPE CP105 24/CS,Custom,TAPE MASKING,61.49,49.19,20.00,N/A,N/A,N/A,N/A,N/A,15,Item Defined Cost
292142 Inverness Brewing,261291 3-1/8"X220' THERMAL REGISTERCORE 7/16 50RL/CS,Custom,THERMAL PAPER,59.4,44.55,25.00,N/A,N/A,N/A,N/A,N/A,233,Item Defined Cost
292142 Inverness Brewing,1159841 12021502 Tork Advanced Jumbo Bath Tissue Roll 2-Ply 10 inch Dia.,Custom,TOILETISSUE JUMB,53.12,39.84,25.00,N/A,N/A,N/A,N/A,N/A,N/A,Item Defined Cost
292142 Inverness Brewing,901694 0521 2.5LB KRAFT FOOD TRAY,Custom,TRAY FOOD PAPER,25.6,21.76,15.00,N/A,N/A,N/A,N/A,N/A,127,Item Defined Cost
292142 Inverness Brewing,250712 WHITE CLAMSHELL HOTDOG 500 4/125 9065,Custom,TRAYS HOTDOG,48.49,36.37,24.99,N/A,N/A,N/A,N/A,N/A,42,Item Defined Cost
292142 Inverness Brewing,300059 6700300 WETNAP FLAG PRINT 1M/6700300,Custom,WET NAPS,17.72,13.29,25.00,N/A,N/A,N/A,N/A,N/A,394,Item Defined Cost
292142 Inverness Brewing,457434 NO-RINSE SANITZNG WIPE 12/72CT M30472 RED MULTI-SURF SOFTPACK,Custom,WIPER FOODSVC,62.83,49.01,22.00,N/A,N/A,N/A,N/A,N/A,30,Item Defined Cost
